Wall time,Step,Value
1669308580.342987,0,0.5738789439201355
1669308862.543782,1,0.8493424654006958
1669309110.292343,2,0.9074164628982544
1669309437.533545,3,0.939802348613739
1669309752.476326,4,0.962713360786438
1669310129.314966,5,0.9773339629173279
1669310490.344721,6,0.9856652617454529
1669310897.754373,7,0.9908519387245178
1669311338.098341,8,0.9938740730285645
1669311783.372529,9,0.9959160089492798
1669312180.439789,10,0.997222900390625
1669312573.075605,11,0.9978355169296265
1669312986.544006,12,0.9987339973449707
1669313406.508695,13,0.9989790320396423
1669313809.737977,14,0.9993873834609985
1669314215.184602,15,0.9995099306106567
1669314662.568139,16,0.9995099306106567
1669315062.104636,17,0.9996733069419861
1669315519.701625,18,0.9997141361236572
1669315923.931019,19,0.9997141361236572
1669316342.962928,20,0.9997957944869995
1669316707.842683,21,0.9997549653053284
1669317113.066125,22,0.9997957944869995
1669317556.486481,23,0.9997957944869995
1669317990.485225,24,0.9997957944869995
1669318348.657332,25,0.9997957944869995
1669318737.585976,26,0.9997957944869995
1669319158.425131,27,0.9998366236686707
1669319441.294661,28,0.9998366236686707
1669319789.627957,29,0.9998774528503418
1669320105.76719,30,0.9998366236686707
1669320425.73943,31,0.9998366236686707
1669320742.101903,32,0.9998366236686707
1669321056.953551,33,0.9998366236686707
1669321376.400361,34,0.9998366236686707
1669321694.73412,35,0.9998366236686707
1669322010.048222,36,0.9998366236686707
1669322326.834794,37,0.9998366236686707
1669322638.986336,38,0.9998366236686707
1669322955.23488,39,0.9998366236686707
1669323271.289204,40,0.9998366236686707
1669323592.096818,41,0.9998366236686707
1669323918.161195,42,0.9998366236686707
1669324232.80836,43,0.9998366236686707
1669324559.241991,44,0.9998366236686707
1669324878.381733,45,0.9998366236686707
1669325201.124618,46,0.9998774528503418
1669325517.194289,47,0.9998366236686707
1669325836.92232,48,0.9998366236686707
1669326146.726684,49,0.9998366236686707
1669326460.876012,50,0.9998366236686707
1669326781.823943,51,0.9998366236686707
1669327094.087441,52,0.9998366236686707
1669327412.341854,53,0.9998366236686707
1669327715.746694,54,0.9998366236686707
1669328019.478386,55,0.9998366236686707
1669328325.649638,56,0.9998366236686707
1669328641.903842,57,0.9998366236686707
1669328948.050774,58,0.9998366236686707
1669329257.213593,59,0.9998366236686707
1669329567.093251,60,0.9998366236686707
1669329874.153188,61,0.9998366236686707
1669330184.599343,62,0.9998366236686707
1669330489.57094,63,0.9998366236686707
1669330795.644616,64,0.9998366236686707
1669331122.993907,65,0.9998366236686707
1669331434.58992,66,0.9998366236686707
1669331742.940461,67,0.9998366236686707
1669332057.92942,68,0.9998366236686707
1669332363.279205,69,0.9998366236686707
1669332685.986527,70,0.9998366236686707
1669332991.390454,71,0.9998366236686707
1669333292.207998,72,0.9998366236686707
1669333597.097774,73,0.9998366236686707
1669333917.048728,74,0.9998366236686707
1669334225.799108,75,0.9998366236686707
1669334544.665644,76,0.9998366236686707
1669334844.846804,77,0.9998774528503418
1669335142.767739,78,0.9998774528503418
1669335440.864374,79,0.9998366236686707
