Wall time,Step,Value
1669308580.342488,0,2.1860783100128174
1669308862.54331,1,0.633873462677002
1669309110.291837,2,0.4111161530017853
1669309437.53304,3,0.28828856348991394
1669309752.475839,4,0.20810717344284058
1669310129.314497,5,0.1554991453886032
1669310490.344236,6,0.119931660592556
1669310897.753883,7,0.09480784088373184
1669311338.097819,8,0.0771901085972786
1669311783.372025,9,0.06406877189874649
1669312180.439352,10,0.05378793552517891
1669312573.075113,11,0.04608635976910591
1669312986.543534,12,0.03987577185034752
1669313406.50818,13,0.03488987311720848
1669313809.737495,14,0.030841397121548653
1669314215.184078,15,0.027424592524766922
1669314662.567702,16,0.024786580353975296
1669315062.103943,17,0.02225787565112114
1669315519.701117,18,0.02021605893969536
1669315923.930542,19,0.018351169303059578
1669316342.96238,20,0.01676715537905693
1669316707.842122,21,0.015311012975871563
1669317113.065524,22,0.014125010930001736
1669317556.486032,23,0.013122462667524815
1669317990.484788,24,0.012171545997262001
1669318348.656854,25,0.01132868230342865
1669318737.585438,26,0.01055239699780941
1669319158.42466,27,0.009871507063508034
1669319441.294216,28,0.009226514957845211
1669319789.62751,29,0.008698097430169582
1669320105.76666,30,0.008139795623719692
1669320425.73908,31,0.0075855618342757225
1669320742.101462,32,0.007232766132801771
1669321056.952961,33,0.006831262726336718
1669321376.399937,34,0.006457678508013487
1669321694.733721,35,0.0061409990303218365
1669322010.047662,36,0.005826074164360762
1669322326.834267,37,0.005547041539102793
1669322638.985864,38,0.005280082579702139
1669322955.234324,39,0.004997837822884321
1669323271.288741,40,0.0047977389767766
1669323592.096372,41,0.004572519566863775
1669323918.160634,42,0.0042210728861391544
1669324232.807907,43,0.004099360201507807
1669324559.241542,44,0.00402345135807991
1669324878.38126,45,0.0038376888260245323
1669325201.124189,46,0.003722114721313119
1669325517.19385,47,0.003563179634511471
1669325836.921851,48,0.0032890173606574535
1669326146.726217,49,0.0032725899945944548
1669326460.875582,50,0.0030301508959382772
1669326781.82359,51,0.00304699526168406
1669327094.086995,52,0.0029316763393580914
1669327412.341349,53,0.0028582909144461155
1669327715.746082,54,0.0027781440876424313
1669328019.477826,55,0.00265126652084291
1669328325.649168,56,0.002574625425040722
1669328641.903329,57,0.0024583027698099613
1669328948.050368,58,0.00240155216306448
1669329257.213121,59,0.0023506146389991045
1669329567.092887,60,0.002271163510158658
1669329874.15275,61,0.002208627760410309
1669330184.599022,62,0.0021476498804986477
1669330489.570495,63,0.002061996841803193
1669330795.644179,64,0.002036115387454629
1669331122.993456,65,0.0019685004372149706
1669331434.589474,66,0.0019071847200393677
1669331742.939847,67,0.00187499332241714
1669332057.928985,68,0.0018238119082525373
1669332363.278836,69,0.0017460576491430402
1669332685.986106,70,0.0017360781785100698
1669332991.390015,71,0.0017072507180273533
1669333292.207504,72,0.0016554838512092829
1669333597.097339,73,0.0016117827035486698
1669333917.048015,74,0.0015863717999309301
1669334225.798757,75,0.0015720833325758576
1669334544.66519,76,0.00153939554002136
1669334844.846404,77,0.0012927365023642778
1669335142.767239,78,0.0012480710865929723
1669335440.863873,79,0.0014927051961421967
